movie_id,title,year,genre,director,rating,plot,content_features
50,Sarrainodu,2016,"Action,Drama",Boyapati Srinu,6.1,A righteous young man takes on corrupt politicians and criminals,"Action,Drama A righteous young man takes on corrupt politicians..."
51,Baahubali: The Beginning,2015,"Action,Drama,Fantasy",S.S. Rajamouli,8.0,"In the kingdom of Mahishmati, Shivudu falls in love with a young warrior woman","Action,Drama,Fantasy In the kingdom of Mahishmati, Shivudu falls in lov..."
52,Srimanthudu,2015,"Action,Drama",Koratala Siva,7.3,A young billionaire decides to adopt a village and develop it,"Action,Drama A young billionaire decides to adopt a village and..."
53,Temper,2015,"Action,Crime,Drama",Puri Jagannadh,7.5,A corrupt police officer undergoes a transformation,"Action,Crime,Drama A corrupt police officer undergoes a transformatio..."
54,S/O Satyamurthy,2015,"Action,Comedy,Drama",Trivikram Srinivas,7.2,A young man takes on his father's business empire,"Action,Comedy,Drama A young man takes on his father's business empire..."
55,Manam,2014,"Comedy,Drama,Fantasy",Vikram Kumar,8.1,A couple keep meeting across reincarnations,"Comedy,Drama,Fantasy A couple keep meeting across reincarnations..."
56,Race Gurram,2014,"Action,Comedy",Surender Reddy,7.2,A carefree young man takes on a corrupt politician,"Action,Comedy A carefree young man takes on a corrupt politician..."
57,Heart Attack,2014,"Romance,Comedy",Puri Jagannadh,6.8,A young man falls in love but faces obstacles,"Romance,Comedy A young man falls in love but faces obstacles..."
58,Seethamma Vakitlo Sirimalle Chettu,2013,"Drama,Family",Srikanth Addala,7.4,Two brothers from a middle-class family face life's challenges,"Drama,Family Two brothers from a middle-class family face life'..."
59,Attarintiki Daredi,2013,"Action,Comedy,Drama",Trivikram Srinivas,7.3,A young man tries to reunite his estranged family,"Action,Comedy,Drama A young man tries to reunite his estranged family..."
60,Mirchi,2013,"Action,Romance",Koratala Siva,7.4,A man takes on a violent family feud to win his love,"Action,Romance A man takes on a violent family feud to win his lo..."
61,Eega,2012,"Action,Comedy,Fantasy",S.S. Rajamouli,7.7,A man reincarnates as a fly to avenge his death,"Action,Comedy,Fantasy A man reincarnates as a fly to avenge his death..."
62,Businessman,2012,"Action,Crime,Drama",Puri Jagannadh,6.2,A young man becomes a powerful businessman through questionable means,"Action,Crime,Drama A young man becomes a powerful businessman through..."
63,Julayi,2012,"Action,Comedy",Trivikram Srinivas,7.1,A carefree young man gets involved in a major heist,"Action,Comedy A carefree young man gets involved in a major heis..."
64,Gabbar Singh,2012,"Action,Comedy,Drama",Harish Shankar,6.2,A police officer fights against a local don,"Action,Comedy,Drama A police officer fights against a local don..."
65,Dookudu,2011,"Action,Comedy,Drama",Srinu Vaitla,7.5,An IPS officer goes undercover to expose corruption,"Action,Comedy,Drama An IPS officer goes undercover to expose corruptio..."
66,Brindavanam,2010,"Action,Comedy,Drama",Vamsi Paidipally,7.1,A young man helps two families resolve their differences,"Action,Comedy,Drama A young man helps two families resolve their diffe..."
67,Khaleja,2010,"Action,Comedy,Drama",Trivikram Srinivas,7.2,A taxi driver becomes an unlikely messiah,"Action,Comedy,Drama A taxi driver becomes an unlikely messiah..."
68,Magadheera,2009,"Action,Drama,Fantasy",S.S. Rajamouli,7.7,A warrior gets reincarnated 400 years later,"Action,Drama,Fantasy A warrior gets reincarnated 400 years later..."
69,Arya 2,2009,"Action,Romance",Sukumar,7.2,A young man's obsessive love creates complications,"Action,Romance A young man's obsessive love creates complications..."
70,Kick,2009,"Action,Comedy",Surender Reddy,7.1,A thrill-seeker gets involved with the underworld,"Action,Comedy A thrill-seeker gets involved with the underworld..."
71,Ready,2008,"Action,Comedy,Romance",Srinu Vaitla,7.5,Two families' feud affects young lovers,"Action,Comedy,Romance Two families' feud affects young lovers..."
72,Gamyam,2008,"Adventure,Drama",Krish,8.3,"Two guys, one a thief and the other filthy rich, meet in a journey","Adventure,Drama Two guys, one a thief and the other filthy rich, m..."
73,Krishnarjuna Yudham,2018,"Action,Drama",Merlapaka Gandhi,5.6,A man with a dual personality fights injustice,"Action,Drama A man with a dual personality fights injustice..."
74,Bharat Ane Nenu,2018,"Action,Drama",Koratala Siva,7.5,A student becomes the Chief Minister and fights corruption,"Action,Drama A student becomes the Chief Minister and fights co..."
75,Awe!,2018,"Drama,Sci-Fi,Thriller",Prasanth Varma,7.9,Multiple storylines interconnect in unexpected ways,"Drama,Sci-Fi,Thriller Multiple storylines interconnect in unexpected way..."
76,Neevevaro,2018,"Mystery,Romance,Thriller",Harinath Babu B,6.8,A blind man gets entangled in a murder mystery,"Mystery,Romance,Thriller A blind man gets entangled in a murder mystery..."
77,Aravinda Sametha,2018,"Action,Drama",Trivikram Srinivas,7.2,A young man tries to end a long-standing feud between two families,"Action,Drama A young man tries to end a long-standing feud betw..."
78,U Turn,2018,"Horror,Mystery,Thriller",Pawan Kumar,7.4,A journalist investigates mysterious deaths at a flyover,"Horror,Mystery,Thriller A journalist investigates mysterious deaths at a f..."
79,Kirrak Party,2018,"Comedy,Drama",Sharan Koppisetty,6.9,Engineering students face various challenges in college,"Comedy,Drama Engineering students face various challenges in co..."
80,Rangula Ratnam,2018,"Romance,Drama",Shreeranjani,6.1,A love triangle between three friends,"Romance,Drama A love triangle between three friends..."
81,Nene Raju Nene Mantri,2017,"Action,Crime,Drama",Teja,7.8,A man's journey from a humble background to political power,"Action,Crime,Drama A man's journey from a humble background to politi..."
82,Katamarayudu,2017,"Action,Drama",Kishore Kumar Pardasani,4.6,An elder brother protects his family from enemies,"Action,Drama An elder brother protects his family from enemies..."
83,Winner,2017,"Action,Romance",Gopichand Malineni,4.9,A horse jockey faces challenges in his career and love life,"Action,Romance A horse jockey faces challenges in his career and ..."
84,Keshava,2017,"Action,Crime,Thriller",Sudheer Varma,6.0,A law student seeks revenge for his parents' death,"Action,Crime,Thriller A law student seeks revenge for his parents' death..."
85,Guru,2017,"Action,Drama",Sudha Kongara,7.7,A boxer fights against all odds to achieve success,"Action,Drama A boxer fights against all odds to achieve success..."
86,Malli Raava,2017,"Romance,Drama",Gowtam Tinnanuri,7.2,A love story that spans different stages of life,"Romance,Drama A love story that spans different stages of life..."
87,Mahanubhavudu,2017,"Comedy,Romance",Maruthi,6.1,A man with OCD finds love,"Comedy,Romance A man with OCD finds love..."
88,Jomonte Suvisheshangal,2017,"Comedy,Drama",Sathyan Anthikad,6.2,A lazy son transforms to save his family business,"Comedy,Drama A lazy son transforms to save his family business..."
89,Oxygen,2017,"Action,Thriller",A. M. Jothi Krishna,5.8,A man with a rare condition fights for survival,"Action,Thriller A man with a rare condition fights for survival..."
90,Lie,2017,"Action,Romance,Thriller",Hanu Raghavapudi,6.0,A young man gets caught between love and duty,"Action,Romance,Thriller A young man gets caught between love and duty..."
91,Supreme,2016,"Action,Comedy,Romance",Anil Ravipudi,6.8,A cab driver gets involved with criminals,"Action,Comedy,Romance A cab driver gets involved with criminals..."
92,Krishnagaadi Veera Prema Gaadha,2016,"Action,Comedy,Romance",Hanu Raghavapudi,7.0,A man fights for his love against all odds,"Action,Comedy,Romance A man fights for his love against all odds..."
93,Express Raja,2016,"Action,Comedy,Romance",Merlapaka Gandhi,6.1,Two friends get involved in a case of mistaken identity,"Action,Comedy,Romance Two friends get involved in a case of mistaken ide..."
94,Dictator,2016,"Action,Drama",Sriwass,4.7,A man fights against a corrupt system,"Action,Drama A man fights against a corrupt system..."
95,Nannaku Prematho,2016,"Action,Drama",Sukumar,7.3,A son seeks to fulfill his father's last wish,"Action,Drama A son seeks to fulfill his father's last wish..."
96,Soggade Chinni Nayana,2016,"Comedy,Drama,Fantasy",Kalyan Krishna Kurasala,7.3,A grandfather's spirit returns to help his family,"Comedy,Drama,Fantasy A grandfather's spirit returns to help his family..."
97,24,2016,"Romance,Sci-Fi,Thriller",Vikram Kumar,7.8,A scientist creates a time-travel watch,"Romance,Sci-Fi,Thriller A scientist creates a time-travel watch..."
98,Oopiri,2016,"Comedy,Drama",Vamsi Paidipally,8.0,A quadriplegic billionaire and his caretaker form an unlikely friendship,"Comedy,Drama A quadriplegic billionaire and his caretaker form ..."
99,Gentleman,2016,"Action,Romance,Thriller",Mohan Krishna Indraganti,7.2,A woman falls for a man with multiple identities,"Action,Romance,Thriller A woman falls for a man with multiple identities..."
100,Sardaar Gabbar Singh,2016,"Action,Comedy,Western",K. S. Ravindra,4.4,A police officer takes on bandits in Rajasthan,"Action,Comedy,Western A police officer takes on bandits in Rajasthan..."
101,Subramanyam for Sale,2015,"Comedy,Romance",Harish Shankar,6.6,A young man pretends to be someone else to get a job,"Comedy,Romance A young man pretends to be someone else to get a j..."
102,Rudhramadevi,2015,"Action,Drama,History",Gunasekhar,5.4,The story of India's first woman ruler,"Action,Drama,History The story of India's first woman ruler..."
103,Bruce Lee The Fighter,2015,"Action,Comedy",Srinu Vaitla,5.2,A stuntman fights against corruption,"Action,Comedy A stuntman fights against corruption..."
104,Loafer,2015,"Action,Drama",Puri Jagannadh,4.8,A man transforms from being useless to helpful,"Action,Drama A man transforms from being useless to helpful..."
105,Akhil,2015,"Action,Romance",V. V. Vinayak,4.6,A young man discovers his true identity,"Action,Romance A young man discovers his true identity..."
106,Shankarabharanam,2015,"Action,Comedy",Uday Nandanavanam,6.8,A man gets involved in a diamond heist,"Action,Comedy A man gets involved in a diamond heist..."
107,Pandaga Chesko,2015,"Action,Comedy,Romance",Gopichand Malineni,6.2,Two friends compete for the same girl,"Action,Comedy,Romance Two friends compete for the same girl..."
108,Bengal Tiger,2015,"Action,Comedy",Sampath Nandi,6.0,A man fights against those who wronged his family,"Action,Comedy A man fights against those who wronged his family..."
109,Cinema Choopistha Mava,2015,"Comedy,Romance",Trinadha Rao Nakkina,5.8,A young man tries to become a film director,"Comedy,Romance A young man tries to become a film director..."
110,Rey,2015,"Action,Romance",Y. V. S. Chowdary,4.8,A young man seeks revenge for his father's death,"Action,Romance A young man seeks revenge for his father's death..."
111,Raju Gari Gadhi,2015,"Comedy,Horror",Ohmkar,6.9,Friends encounter supernatural elements in an old house,"Comedy,Horror Friends encounter supernatural elements in an old ..."
112,Bandipotu,2015,"Comedy,Crime",Mohan Krishna Indraganti,7.2,A group plans an elaborate heist,"Comedy,Crime A group plans an elaborate heist..."
113,Jil,2015,"Action,Romance",Radha Krishna Jagarlamudi,6.0,A man falls in love while on a mission,"Action,Romance A man falls in love while on a mission..."
114,Mukunda,2014,"Action,Romance",Srikanth Addala,5.8,A young man fights for his love,"Action,Romance A young man fights for his love..."
115,Power,2014,"Action,Thriller",K. S. Ravindra,5.2,A man seeks revenge for his father's murder,"Action,Thriller A man seeks revenge for his father's murder..."
116,Aagadu,2014,"Action,Comedy",Srinu Vaitla,4.6,A police officer fights corruption in a small town,"Action,Comedy A police officer fights corruption in a small town..."
117,Govindudu Andarivadele,2014,"Action,Drama,Family",Krishna Vamsi,6.4,A young man reunites his joint family,"Action,Drama,Family A young man reunites his joint family..."
118,Legend,2014,"Action,Drama",Boyapati Srinu,6.8,Twin brothers fight against a common enemy,"Action,Drama Twin brothers fight against a common enemy..."
119,Yevadu,2014,"Action,Crime,Drama",Vamsi Paidipally,7.4,A man gets a new face and identity after an accident,"Action,Crime,Drama A man gets a new face and identity after an accide..."
120,1 Nenokkadine,2014,"Action,Mystery,Thriller",Sukumar,8.0,A rock star with schizophrenia searches for his parents' killers,"Action,Mystery,Thriller A rock star with schizophrenia searches for his pa..."
121,Ramayya Vasthavayya,2013,"Action,Drama,Romance",Harish Shankar,6.0,A young man fights for his love and family,"Action,Drama,Romance A young man fights for his love and family..."
122,Baadshah,2013,"Action,Comedy",Srinu Vaitla,6.2,A detective gets involved in a high-profile case,"Action,Comedy A detective gets involved in a high-profile case..."
123,Naayak,2013,"Action,Drama",V. V. Vinayak,6.1,A man plays dual roles to fight injustice,"Action,Drama A man plays dual roles to fight injustice..."
124,Cameraman Gangatho Rambabu,2012,"Action,Comedy,Drama",Puri Jagannadh,6.2,A cameraman fights against corruption,"Action,Comedy,Drama A cameraman fights against corruption..."
125,Raccha,2012,"Action,Romance",Sampath Nandi,6.0,A man fights to protect his love,"Action,Romance A man fights to protect his love..."
126,Dammu,2012,"Action,Drama",Boyapati Srinu,5.6,A young man fights against land grabbers,"Action,Drama A young man fights against land grabbers..."
127,Ishq,2012,"Romance,Comedy",Vikram Kumar,7.2,Two love stories intertwine in unexpected ways,"Romance,Comedy Two love stories intertwine in unexpected ways..."
128,Nippu,2012,"Action,Drama",Gunasekhar,4.9,A man seeks revenge for his family's suffering,"Action,Drama A man seeks revenge for his family's suffering..."
129,Bodyguard,2012,"Action,Romance",Gopichand Malineni,5.8,A bodyguard falls in love with his client,"Action,Romance A bodyguard falls in love with his client..."
130,The Businessman,2012,"Action,Crime,Drama",Puri Jagannadh,6.2,A young man becomes a powerful businessman,"Action,Crime,Drama A young man becomes a powerful businessman..."
131,Oosaravelli,2011,"Action,Romance,Thriller",Surender Reddy,6.1,A man seeks revenge while protecting his love,"Action,Romance,Thriller A man seeks revenge while protecting his love..."
132,Mogudu,2011,"Action,Comedy,Drama",Krishna Vamsi,5.2,A man struggles with his dominating wife,"Action,Comedy,Drama A man struggles with his dominating wife..."
133,Mr. Perfect,2011,"Romance,Comedy,Drama",Dasaradh,7.3,A perfectionist man learns about love and life,"Romance,Comedy,Drama A perfectionist man learns about love and life..."
134,100% Love,2011,"Romance,Comedy",Sukumar,7.1,College students navigate love and friendship,"Romance,Comedy College students navigate love and friendship..."
135,Badrinath,2011,"Action,Romance",V. V. Vinayak,5.6,A warrior falls in love while on a mission,"Action,Romance A warrior falls in love while on a mission..."
136,Sri Rama Rajyam,2011,"Drama,History,Mythology",Bapu,8.0,The story of Lord Rama's reign,"Drama,History,Mythology The story of Lord Rama's reign..."
137,Teen Maar,2011,"Action,Comedy,Romance",Jayanth C. Paranjee,5.8,A man tries to win his love back,"Action,Comedy,Romance A man tries to win his love back..."
138,Orange,2010,"Romance,Drama",Bhaskar,7.2,A man who doesn't believe in love falls for a girl,"Romance,Drama A man who doesn't believe in love falls for a girl..."
139,Adhurs,2010,"Action,Comedy",V. V. Vinayak,6.4,Twin brothers separated at birth reunite,"Action,Comedy Twin brothers separated at birth reunite..."
140,Darling,2010,"Romance,Comedy",A. Karunakaran,6.8,A young man falls in love with three different girls,"Romance,Comedy A young man falls in love with three different gir..."
141,Shakti,2011,"Action,Drama",Meher Ramesh,4.2,A man fights against his stepfather,"Action,Drama A man fights against his stepfather..."
142,Mirapakay,2011,"Action,Comedy",Harish Shankar,6.0,A man with a fear of violence becomes a police officer,"Action,Comedy A man with a fear of violence becomes a police off..."
143,Nagavalli,2010,"Comedy,Horror,Thriller",P. Vasu,6.1,A family encounters supernatural phenomena,"Comedy,Horror,Thriller A family encounters supernatural phenomena..."
144,Pokiri,2006,"Action,Crime,Thriller",Puri Jagannadh,8.0,Pandu is a contract killer who accepts contracts for the right price,"Action,Crime,Thriller Pandu is a contract killer who accepts contracts f..."
145,Bommarillu,2006,"Romance,Comedy,Drama",Bhaskar,8.2,A young man realizes he needs to push back against his domineering father,"Romance,Comedy,Drama A young man realizes he needs to push back against..."
146,Anand,2004,"Romance,Drama",Sekhar Kammula,8.1,A young man and woman from different backgrounds fall in love,"Romance,Drama A young man and woman from different backgrounds f..."
147,Arya,2004,"Romance,Drama",Sukumar,7.8,A young man's unconventional approach to love,"Romance,Drama A young man's unconventional approach to love..."
148,Varsham,2004,"Romance,Action",Sobhan,7.5,A man falls in love and fights to protect her,"Romance,Action A man falls in love and fights to protect her..."
149,Nuvvostanante Nenoddantana,2005,"Romance,Comedy,Drama",Prabhu Deva,7.8,A young man wins over a girl's family to marry her,"Romance,Comedy,Drama A young man wins over a girl's family to marry her..."
150,Vedam,2010,"Drama,Thriller",Krish,8.1,Five people from different backgrounds end up in the same hospital on New Year's Eve,"Drama,Thriller Five people from different backgrounds end up in t..."
